state,district,category,type,date,crimes,,,,,,
Negeri Sembilan,All,total,all,1/1/2018,3673,,,,,,
Negeri Sembilan,All,total,all,1/1/2019,3327,,,,,,
Negeri Sembilan,All,total,all,1/1/2020,2431,,,,,,
Negeri Sembilan,All,total,all,1/1/2021,1835,,,,,,
Negeri Sembilan,All,total,all,1/1/2022,1784,,,,,,
Negeri Sembilan,All,total,all,1/1/2023,1895,,,,,,
Pahang,All,assault,all,1/1/2016,651,,,,,,
Pahang,All,assault,all,1/1/2017,656,,,,,,
Pahang,All,assault,all,1/1/2018,572,,,,,,
Pahang,All,assault,all,1/1/2019,595,,,,,,
Pahang,All,assault,all,1/1/2020,405,,,,,,
Pahang,All,assault,all,1/1/2021,413,,,,,,
Pahang,All,assault,all,1/1/2022,395,,,,,,
Pahang,All,assault,all,1/1/2023,409,,,,,,
Pahang,All,property,all,1/1/2016,3126,,,,,,
Pahang,All,property,all,1/1/2017,2951,,,,,,
Pahang,All,property,all,1/1/2018,3012,,,,,,
Pahang,All,property,all,1/1/2019,2676,,,,,,
Pahang,All,property,all,1/1/2020,1926,,,,,,
Pahang,All,property,all,1/1/2021,1643,,,,,,
Pahang,All,property,all,1/1/2022,1489,,,,,,
Pahang,All,property,all,1/1/2023,1466,,,,,,
Pahang,All,total,all,1/1/2016,3777,,,,,,
Pahang,All,total,all,1/1/2017,3607,,,,,,
Pahang,All,total,all,1/1/2018,3584,,,,,,
Pahang,All,total,all,1/1/2019,3271,,,,,,
Pahang,All,total,all,1/1/2020,2331,,,,,,
Pahang,All,total,all,1/1/2021,2056,,,,,,
Pahang,All,total,all,1/1/2022,1884,,,,,,
Pahang,All,total,all,1/1/2023,1875,,,,,,
Perak,All,assault,all,1/1/2016,1295,,,,,,
Perak,All,assault,all,1/1/2017,1140,,,,,,
Perak,All,assault,all,1/1/2018,1005,,,,,,
Perak,All,assault,all,1/1/2019,1103,,,,,,
Perak,All,assault,all,1/1/2020,789,,,,,,
Perak,All,assault,all,1/1/2021,747,,,,,,
Perak,All,assault,all,1/1/2022,770,,,,,,
Perak,All,assault,all,1/1/2023,852,,,,,,
Perak,All,property,all,1/1/2016,4546,,,,,,
Perak,All,property,all,1/1/2017,4186,,,,,,
Perak,All,property,all,1/1/2018,4123,,,,,,
Perak,All,property,all,1/1/2019,3809,,,,,,
Perak,All,property,all,1/1/2020,2599,,,,,,
Perak,All,property,all,1/1/2021,2178,,,,,,
Perak,All,property,all,1/1/2022,2490,,,,,,
Perak,All,property,all,1/1/2023,2720,,,,,,
Perak,All,total,all,1/1/2016,5841,,,,,,
Perak,All,total,all,1/1/2017,5326,,,,,,
